Date,Open,High,Low,Close,Volume
25/02/2002 16:00:00,13.07,13.75,13,13.72,5762600
26/02/2002 16:00:00,13.92,14.49,13.45,14.4,8311500
27/02/2002 16:00:00,14.46,14.73,14.12,14.27,8550600
28/02/2002 16:00:00,14.27,14.75,13.93,14.1,6062800
01/03/2002 16:00:00,14.15,15.4,14.12,15.39,9863200
04/03/2002 16:00:00,15.4,16.49,15.4,16.48,13928300
05/03/2002 16:00:00,16.4,16.68,15.53,15.97,8816800
06/03/2002 16:00:00,15.15,16.59,14.82,16.33,14272700
07/03/2002 16:00:00,16.25,16.95,15.4,15.62,9273600
08/03/2002 16:00:00,15.93,16.96,15.93,16.35,9439300
11/03/2002 16:00:00,16.24,16.88,15.86,16.71,6626600
12/03/2002 16:00:00,16.4,16.59,16.04,16.31,5619400
13/03/2002 16:00:00,16.2,16.34,15.64,15.74,5560300
14/03/2002 16:00:00,15.5,15.5,14.28,14.48,15169900
15/03/2002 16:00:00,14.29,14.29,13.55,14.03,12322100
18/03/2002 16:00:00,14.2,15.28,14.14,15.01,7992300
19/03/2002 16:00:00,15.2,15.4,14.56,14.66,4894200
20/03/2002 16:00:00,14.7,15.13,14.3,14.5,7202200
21/03/2002 16:00:00,14.56,15.24,14.56,15.17,5591600
22/03/2002 16:00:00,15.22,15.6,15.1,15.53,5185000
25/03/2002 16:00:00,15.51,15.73,14.72,14.74,5141300
26/03/2002 16:00:00,14.7,15.45,14.55,14.83,4925100
27/03/2002 16:00:00,14.33,14.35,13.7,14.25,8151800
28/03/2002 16:00:00,14.28,14.65,14.25,14.3,3122500
01/04/2002 16:00:00,14.3,14.8,14.14,14.8,4768100
02/04/2002 16:00:00,14.62,15.09,14.19,14.25,4780100
03/04/2002 16:00:00,14.3,14.45,13.6,13.67,4534100
04/04/2002 16:00:00,13.72,13.8,13.23,13.54,5731700
05/04/2002 16:00:00,13.5,14.04,13.31,13.5,4500000
08/04/2002 16:00:00,13.4,13.96,12.96,13.95,5320100
09/04/2002 16:00:00,14.04,14.59,13.56,13.6,6459400
10/04/2002 16:00:00,13.55,14,13.05,13.25,5275700
11/04/2002 16:00:00,13.26,13.28,12.52,12.74,5961100
12/04/2002 16:00:00,13,13.61,12.85,13.31,5379100
15/04/2002 16:00:00,13.35,14.1,13.35,13.89,4758500
16/04/2002 16:00:00,14.04,14.29,13.72,14.01,3691000
17/04/2002 16:00:00,14.24,15,14.24,14.82,7763900
18/04/2002 16:00:00,14.75,14.86,13.95,14.26,3878200
19/04/2002 16:00:00,14.19,14.74,14.15,14.53,3737700
22/04/2002 16:00:00,14.24,14.85,14.15,14.31,5290800
23/04/2002 16:00:00,14.34,14.75,13.88,14.06,8141800
24/04/2002 16:00:00,15.4,16.85,15.05,16.79,34472000
25/04/2002 16:00:00,16.49,17.05,16.41,16.84,11736500
26/04/2002 16:00:00,16.9,16.95,16.32,16.91,8138500
